subject,unit_id,firing_rate_diff
D12_6,24,-2.5916666666666663
D12_6,25,-0.0875
D12_6,27,-0.2958333333333334
D12_6,28,-0.22916666666666663
D12_6,33,-0.15833333333333338
D13_4,14,-0.4833333333333334
D13_4,28,-0.6458333333333333
D13_8,28,-0.1
D13_8,31,0.1375
D14_6,1,-1.1374999999999997
D14_6,27,-0.6791666666666666
